time (s),Current (A), Voltage (V), Power (W), Battery Temp (C), Ambient Temp (C)
251.211859,-2.6094,3.1661,-8.2608,21.031979,20.061899
252.209766,-2.6014,3.1672,-8.2383,21.016365,20.054045
253.209536,-2.6237,3.1668,-8.3085,21.025997,20.050731
254.210377,-2.5944,3.1685,-8.2199,21.010635,20.072369
255.210318,-2.6275,3.1668,-8.3203,21.026924,20.060541
256.213239,-2.615,3.1673,-8.2821,21.020827,20.053699
257.211008,-2.6069,3.1682,-8.2585,21.031891,20.070324
258.208653,-2.6147,3.1674,-8.2813,21.036851,20.059373
259.211047,-2.6054,3.1661,-8.2483,21.042405,20.071965
260.212017,-2.5869,3.1681,-8.1947,21.027189,20.069319
261.207078,-2.585,3.1664,-8.1845,21.018374,20.047542
262.210303,-2.5858,3.1677,-8.1907,21.034941,20.060052
263.213064,-2.5884,3.1664,-8.1956,21.030242,20.068304
264.211867,-2.6301,3.1666,-8.3283,21.036129,20.05791
265.212266,-2.5928,3.1668,-8.2105,21.032187,20.058406
266.210234,-2.593,3.1669,-8.2115,21.048791,20.074654
267.212606,-2.6265,3.1665,-8.3165,21.04951,20.079446
268.212433,-2.5956,3.1668,-8.2197,21.035169,20.084709
269.21374,-2.5933,3.1665,-8.2115,21.037558,20.083029
270.208872,-2.5814,3.1675,-8.1759,21.062342,20.063418
271.211123,-2.5913,3.1665,-8.2048,21.034922,20.054851
272.209302,-2.5976,3.1671,-8.2269,21.04983,20.084207
273.211916,-2.595,3.1672,-8.2186,21.070539,20.084577
274.209827,-2.6071,3.1654,-8.2526,21.054661,20.074978
275.212358,-2.6097,3.1671,-8.2647,21.054336,20.079464
276.212928,-2.6158,3.1661,-8.2815,21.070705,20.078822
277.211111,-2.6288,3.1666,-8.324,21.069874,20.071698
278.21107,-2.5886,3.1671,-8.1984,21.056623,20.082493
279.210255,-2.6163,3.1667,-8.2845,21.06998,20.077726
280.213195,-2.6122,3.1659,-8.2696,21.054421,20.072146
281.20893,-2.6079,3.1667,-8.2581,21.079612,20.089587
282.211973,-2.6254,3.1657,-8.3103,21.080711,20.087726
283.213264,-2.5932,3.1673,-8.213,21.062092,20.089818
284.21219,-2.5958,3.1661,-8.2184,21.08179,20.100651
285.206906,-2.5821,3.1664,-8.1757,21.076657,20.099955
286.207228,-2.5984,3.168,-8.231,21.077316,20.094691
287.208549,-2.602,3.1661,-8.238,21.09494,20.116403
288.211486,-2.5915,3.1656,-8.2035,21.065903,20.11732
289.209326,-2.5983,3.1662,-8.2263,21.096542,20.101351
290.210158,-2.6122,3.1657,-8.2692,21.097217,20.116461
291.211262,-2.6148,3.1663,-8.2788,21.087233,20.11313
292.213418,-2.6099,3.1665,-8.2641,21.1073,20.109528
293.211576,-2.6017,3.1663,-8.2376,21.093978,20.11692
294.211902,-2.6021,3.1667,-8.24,21.10444,20.115548
295.210329,-2.602,3.1655,-8.2367,21.107966,20.114635
296.214734,-2.6091,3.1646,-8.2565,21.095932,20.109253
297.213058,-2.6017,3.1647,-8.2335,21.105024,20.10799
298.212873,-2.5737,3.1667,-8.1504,21.090755,20.116285
299.213044,-2.6128,3.1655,-8.2702,21.09448,20.100027
300.21243,-2.6164,3.1657,-8.2824,21.110995,20.12692
301.211471,-2.6158,3.1652,-8.2794,21.116576,20.114741
302.210237,-2.6036,3.1663,-8.2429,21.108974,20.100469
303.208175,-2.5874,3.1655,-8.1899,21.124522,20.11418
304.209893,-2.6069,3.1655,-8.2522,21.111308,20.120941
305.210476,-2.586,3.1655,-8.1855,21.121194,20.103447
306.21027,-2.5984,3.1657,-8.2251,21.120434,20.120082
307.206271,-2.582,3.165,-8.1715,21.124817,20.115957
308.212847,-2.6073,3.164,-8.2492,21.125801,20.11139
309.213516,-2.5692,3.1648,-8.1309,21.123427,20.114565
310.21044,-2.6072,3.1643,-8.2496,21.136603,20.115169
311.210431,-2.618,3.1644,-8.2844,21.118185,20.123383
312.207835,-2.5918,3.1646,-8.2016,21.138198,20.102701
313.209686,-2.5948,3.1652,-8.2127,21.129764,20.123869
314.211185,-2.6122,3.1647,-8.2669,21.139559,20.121088
315.211729,-2.616,3.165,-8.2788,21.124153,20.125656
316.212511,-2.5927,3.1647,-8.205,21.144057,20.124851
317.211493,-2.6168,3.1656,-8.2834,21.136923,20.131775
318.212788,-2.5828,3.1649,-8.174,21.152787,20.14025
319.21231,-2.5886,3.1639,-8.1899,21.152614,20.11639
320.210392,-2.5946,3.164,-8.2091,21.154643,20.122492
321.210353,-2.6167,3.1639,-8.2789,21.148031,20.126237
322.207569,-2.6114,3.1639,-8.2614,21.150365,20.130795
323.210869,-2.5852,3.1644,-8.1803,21.154019,20.139633
324.20822,-2.6141,3.1641,-8.2713,21.162622,20.132329
325.209544,-2.6054,3.1654,-8.2467,21.167843,20.133114
326.214822,-2.6005,3.1648,-8.2295,21.153277,20.13889
327.212,-2.5733,3.1641,-8.1417,21.160391,20.145271
328.208791,-2.6026,3.1655,-8.2385,21.178248,20.143529
329.209411,-2.6211,3.1639,-8.2927,21.159706,20.127189
330.214528,-2.6013,3.1651,-8.2331,21.14716,20.132768
331.212891,-2.5809,3.1648,-8.1676,21.16837,20.130681
332.212122,-2.6087,3.1645,-8.2544,21.171077,20.150785
333.213417,-2.5748,3.1638,-8.1457,21.165843,20.161832
334.21117,-2.6074,3.1631,-8.2475,21.175603,20.147913
335.215289,-2.6051,3.1647,-8.2438,21.166332,20.141594
336.21216,-2.6279,3.1635,-8.3129,21.189607,20.154898
337.210805,-2.6051,3.1645,-8.2433,21.187379,20.149707
338.211279,-2.5845,3.1633,-8.1754,21.182338,20.157985
339.212705,-2.6278,3.1633,-8.3121,21.202051,20.150328
340.211034,-2.5838,3.1633,-8.1733,21.184978,20.173581
341.209982,-2.6028,3.1638,-8.2344,21.175751,20.171377
342.209822,-2.612,3.1634,-8.2621,21.202995,20.164967
343.210007,-2.5758,3.1649,-8.1518,21.189575,20.154866
344.208666,-2.6153,3.1625,-8.2705,21.193822,20.16911
345.210976,-2.6199,3.1637,-8.288,21.207087,20.171654
346.215522,-2.6046,3.1635,-8.2397,21.213634,20.175986
347.21032,-2.6321,3.1637,-8.3268,21.203576,20.16888
348.20925,-2.6113,3.1629,-8.2591,21.219412,20.166596
349.20792,-2.6313,3.1638,-8.3244,21.22145,20.178259
350.209089,-2.5953,3.1623,-8.207,21.217119,20.179475
351.213403,-2.6067,3.1632,-8.2452,21.220546,20.175873
352.214619,-2.5925,3.1634,-8.2008,21.221815,20.171592
353.21262,-2.614,3.1632,-8.2685,21.225865,20.157881
354.211787,-2.6207,3.1621,-8.2868,21.231256,20.168088
355.211425,-2.6011,3.1634,-8.2282,21.240968,20.174479
356.208876,-2.5894,3.1633,-8.1904,21.223536,20.179606
357.213279,-2.5807,3.1621,-8.1601,21.230541,20.176255
358.210781,-2.5996,3.1632,-8.2227,21.239036,20.183277
359.209451,-2.5719,3.1627,-8.1336,21.252869,20.171587
360.208455,-2.5614,3.1624,-8.0997,21.241811,20.171622
361.207783,-2.5868,3.1632,-8.1822,21.241151,20.195757
362.211199,-2.6029,3.1631,-8.2329,21.236812,20.189564
363.209894,-2.6151,3.1629,-8.2711,21.242997,20.193534
364.210663,-2.599,3.162,-8.2176,21.247153,20.188072
365.210981,-2.6083,3.163,-8.2498,21.250003,20.180931
366.208902,-2.578,3.1626,-8.1531,21.240865,20.18992
367.209579,-2.6015,3.1623,-8.226,21.261398,20.187897
368.208358,-2.6118,3.162,-8.2579,21.249503,20.190423
369.213449,-2.6102,3.1617,-8.2519,21.253018,20.190981
370.211228,-2.5811,3.1625,-8.1622,21.261584,20.201406
371.209274,-2.6201,3.1612,-8.2825,21.25692,20.189706
372.209061,-2.5945,3.1622,-8.2038,21.270933,20.19448
373.21146,-2.601,3.1626,-8.2254,21.264717,20.179746
374.210828,-2.6075,3.1618,-8.2437,21.248313,20.189603
375.212947,-2.6013,3.1622,-8.2255,21.247961,20.18814
376.212766,-2.6182,3.1619,-8.2779,21.276547,20.20343
377.21218,-2.5707,3.1625,-8.1295,21.280099,20.207355
378.210839,-2.6034,3.1609,-8.2286,21.285842,20.209773
379.210289,-2.6117,3.1626,-8.2594,21.280521,20.205927
380.211592,-2.6243,3.1615,-8.2964,21.271753,20.197151
381.208314,-2.5957,3.161,-8.2045,21.290186,20.213381
382.209898,-2.6177,3.1612,-8.2745,21.287056,20.210988
383.21001,-2.5943,3.1613,-8.2009,21.273122,20.204073
384.209659,-2.592,3.1613,-8.1938,21.289588,20.215373
385.210596,-2.6137,3.1612,-8.2619,21.28589,20.209451
386.212314,-2.6262,3.1608,-8.3004,21.280973,20.213042
387.211315,-2.6014,3.1617,-8.2246,21.298639,20.226284
388.210157,-2.5757,3.1625,-8.1455,21.311173,20.215144
389.210521,-2.5914,3.161,-8.191,21.309206,20.206884
390.213292,-2.6125,3.1609,-8.2578,21.297844,20.211424
391.212751,-2.5981,3.1614,-8.2135,21.286246,20.21943
392.213027,-2.5766,3.1616,-8.1457,21.307743,20.227624
393.21173,-2.5905,3.1609,-8.1881,21.309717,20.237002
394.211391,-2.6135,3.161,-8.2609,21.3286,20.231478
395.209137,-2.6145,3.1609,-8.2642,21.317968,20.227497
396.21038,-2.6273,3.1611,-8.3047,21.29645,20.223352
397.21007,-2.5672,3.1626,-8.1187,21.310058,20.22217
398.209391,-2.6058,3.1609,-8.2368,21.315052,20.222358
399.211281,-2.5879,3.1608,-8.1792,21.322195,20.233949
400.210124,-2.6222,3.1603,-8.2868,21.336711,20.222203
401.213887,-2.6049,3.16,-8.2308,21.330219,20.232358
402.212719,-2.6046,3.1611,-8.2328,21.331345,20.217202
403.211148,-2.5999,3.1601,-8.2151,21.333175,20.230506
404.2082,-2.6004,3.1605,-8.218,21.330496,20.226714
405.20987,-2.5953,3.1613,-8.2042,21.34,20.235488
406.211447,-2.595,3.1602,-8.2003,21.335707,20.248214
407.210134,-2.6051,3.161,-8.2345,21.349746,20.221558
408.209556,-2.5931,3.1601,-8.194,21.351053,20.248032
409.213363,-2.6215,3.1603,-8.284,21.357752,20.236234
410.212926,-2.5943,3.1614,-8.201,21.341359,20.252762
411.210543,-2.5753,3.16,-8.1377,21.359555,20.241739
412.208678,-2.5818,3.16,-8.1582,21.370168,20.263835
413.210635,-2.5539,3.1615,-8.0739,21.358986,20.263744
414.210508,-2.6104,3.1605,-8.2501,21.354098,20.245159
415.21129,-2.6056,3.1603,-8.2341,21.365612,20.243731
416.209289,-2.6021,3.1601,-8.2224,21.368064,20.240635
417.211308,-2.6029,3.1605,-8.2262,21.368569,20.249282
418.212973,-2.5826,3.1607,-8.163,21.381679,20.244272
419.210387,-2.5592,3.1604,-8.0875,21.359118,20.243892
420.211522,-2.6037,3.1595,-8.2257,21.365854,20.247304
421.212531,-2.6268,3.16,-8.3,21.377394,20.252935
422.213328,-2.6262,3.1589,-8.2954,21.381929,20.258215
423.210394,-2.6026,3.1605,-8.2252,21.372677,20.251544
424.212116,-2.6084,3.1582,-8.2375,21.381711,20.27502
425.211024,-2.596,3.1606,-8.2048,21.39438,20.264387
426.211436,-2.6216,3.1602,-8.2844,21.374875,20.266326
427.213844,-2.6065,3.1594,-8.2346,21.395983,20.268582
428.212768,-2.6352,3.1597,-8.3254,21.375783,20.274267
429.206292,-2.5922,3.1603,-8.192,21.396361,20.254527
430.210607,-2.5713,3.159,-8.1221,21.390273,20.272118
431.209403,-2.6292,3.1591,-8.3055,21.385584,20.268904
432.209246,-2.611,3.1606,-8.2519,21.407224,20.262811
433.210243,-2.617,3.1595,-8.268,21.406556,20.266584
434.209074,-2.6086,3.1585,-8.2388,21.40476,20.269597
435.213264,-2.6196,3.1594,-8.2761,21.408881,20.287414
436.213439,-2.6223,3.1596,-8.2848,21.402523,20.287711
